area,step,persistence,model,advantage
qinghai_edge,1,0.9371062517166138,0.9486500024795532,0.011543750762939453
qinghai_edge,2,0.9572092890739441,0.9109546542167664,-0.046254634857177734
qinghai_edge,3,0.9551462531089783,0.9014905691146851,-0.05365568399429321
qinghai_edge,4,0.9040220975875854,0.8956818580627441,-0.008340239524841309
qinghai_edge,5,0.92629474401474,0.8723202347755432,-0.05397450923919678
qinghai_edge,6,0.9365236759185791,0.8701907992362976,-0.0663328766822815
qinling_south_slope,1,0.9818662405014038,0.967875063419342,-0.013991177082061768
qinling_south_slope,2,0.9815365672111511,0.9512712359428406,-0.030265331268310547
qinling_south_slope,3,0.9790483117103577,0.9262681007385254,-0.052780210971832275
qinling_south_slope,4,0.9785317778587341,0.8672893643379211,-0.11124241352081299
qinling_south_slope,5,0.9599037766456604,0.8197821378707886,-0.14012163877487183
qinling_south_slope,6,0.961955726146698,0.7685846090316772,-0.19337111711502075
suzhou_fringe,1,0.974196195602417,0.9704117774963379,-0.0037844181060791016
suzhou_fringe,2,0.9628589153289795,0.9502310156822205,-0.012627899646759033
suzhou_fringe,3,0.9553307890892029,0.9388934373855591,-0.0164373517036438
suzhou_fringe,4,0.9387986660003662,0.9050927758216858,-0.03370589017868042
suzhou_fringe,5,0.9431338310241699,0.8896709680557251,-0.053462862968444824
suzhou_fringe,6,0.9290012717247009,0.857766330242157,-0.07123494148254395
tarim_oasis,1,0.9784796237945557,0.9028500318527222,-0.0756295919418335
tarim_oasis,2,0.9766120910644531,0.90107262134552,-0.0755394697189331
tarim_oasis,3,0.9737966656684875,0.8223456740379333,-0.1514509916305542
tarim_oasis,4,0.9609057903289795,0.7863462567329407,-0.17455953359603882
tarim_oasis,5,0.948451817035675,0.7118440270423889,-0.23660778999328613
tarim_oasis,6,0.9604765176773071,0.6552003026008606,-0.30527621507644653
wuhan_outer_ring,1,0.9746747016906738,0.9645853638648987,-0.010089337825775146
wuhan_outer_ring,2,0.9588826298713684,0.9371240735054016,-0.021758556365966797
wuhan_outer_ring,3,0.9739125370979309,0.9434123635292053,-0.030500173568725586
wuhan_outer_ring,4,0.9707418084144592,0.9157757759094238,-0.0549660325050354
wuhan_outer_ring,5,0.9617307186126709,0.8757884502410889,-0.08594226837158203
wuhan_outer_ring,6,0.9714786410331726,0.8598378300666809,-0.1116408109664917
wumeng_mountains,1,0.9758232235908508,0.9713661074638367,-0.00445711612701416
wumeng_mountains,2,0.9866911172866821,0.9647852778434753,-0.021905839443206787
wumeng_mountains,3,0.9726069569587708,0.9356682896614075,-0.03693866729736328
wumeng_mountains,4,0.9498865008354187,0.904002845287323,-0.0458836555480957
wumeng_mountains,5,0.9314444661140442,0.8451447486877441,-0.08629971742630005
wumeng_mountains,6,0.9522984623908997,0.8413457274436951,-0.11095273494720459
wuyi_mountain,1,0.9543440937995911,0.9189467430114746,-0.035397350788116455
wuyi_mountain,2,0.9572111368179321,0.871997058391571,-0.08521407842636108
wuyi_mountain,3,0.9538686871528625,0.8362512588500977,-0.11761742830276489
wuyi_mountain,4,0.9713510870933533,0.803430438041687,-0.16792064905166626
wuyi_mountain,5,0.9700523614883423,0.730575680732727,-0.23947668075561523
wuyi_mountain,6,0.9663180112838745,0.7296322584152222,-0.23668575286865234
yangtze_delta,1,0.9743381142616272,0.9688577651977539,-0.005480349063873291
yangtze_delta,2,0.9722961783409119,0.9524857401847839,-0.01981043815612793
yangtze_delta,3,0.9708253145217896,0.9426735639572144,-0.028151750564575195
yangtze_delta,4,0.9481090903282166,0.8978865146636963,-0.050222575664520264
yangtze_delta,5,0.9658900499343872,0.8914830088615417,-0.07440704107284546
yangtze_delta,6,0.9523187279701233,0.8426247239112854,-0.10969400405883789
yunnan_eco,1,0.9416302442550659,0.9295633435249329,-0.012066900730133057
yunnan_eco,2,0.9383621215820312,0.898905336856842,-0.03945678472518921
yunnan_eco,3,0.9392687082290649,0.8691905736923218,-0.07007813453674316
yunnan_eco,4,0.9060555100440979,0.806769847869873,-0.09928566217422485
yunnan_eco,5,0.8910800814628601,0.744734525680542,-0.14634555578231812
yunnan_eco,6,0.9116581082344055,0.7175970673561096,-0.1940610408782959
